iter	Passed	Remaining
0	99	99259
1	101	50602
2	103	34230
3	104	26033
4	106	21126
5	107	17854
6	109	15520
7	111	13764
8	112	12407
9	114	11338
10	116	10451
11	118	9732
12	120	9120
13	122	8621
14	125	8216
15	127	7813
16	128	7447
17	130	7122
18	132	6829
19	134	6567
20	135	6332
21	137	6116
22	139	5932
23	141	5745
24	142	5574
25	144	5428
26	146	5287
27	148	5154
28	150	5036
29	151	4912
30	152	4779
31	153	4653
32	154	4537
33	155	4424
34	156	4323
35	157	4221
36	158	4120
37	159	4030
38	160	3943
39	160	3861
40	161	3782
41	162	3709
42	163	3639
43	164	3572
44	165	3506
45	166	3443
46	166	3384
47	169	3359
48	171	3328
49	173	3293
50	175	3257
51	176	3221
52	178	3185
53	179	3148
54	181	3115
55	183	3087
56	184	3053
57	185	3020
58	187	2985
59	188	2951
60	189	2918
61	190	2886
62	191	2855
63	192	2820
64	193	2788
65	194	2757
66	195	2727
67	197	2700
68	198	2674
69	199	2648
70	200	2623
71	201	2598
72	202	2573
73	203	2550
74	204	2526
75	206	2506
76	207	2485
77	208	2465
78	209	2446
79	211	2429
80	212	2410
81	213	2393
82	214	2374
83	216	2356
84	217	2338
85	218	2318
86	219	2300
87	220	2281
88	220	2259
89	221	2239
90	222	2221
91	223	2203
92	224	2184
93	225	2169
94	225	2151
95	226	2135
96	227	2118
97	228	2101
98	229	2086
99	229	2067
100	230	2052
101	231	2038
102	232	2023
103	233	2008
104	233	1994
105	234	1980
106	235	1964
107	236	1951
108	237	1939
109	238	1927
110	239	1916
111	240	1905
112	241	1893
113	242	1882
114	243	1870
115	243	1859
116	244	1847
117	245	1836
118	246	1823
119	247	1812
120	247	1801
121	248	1788
122	249	1777
123	249	1763
124	250	1752
125	251	1741
126	251	1730
127	252	1720
128	253	1710
129	254	1700
130	254	1690
131	255	1680
132	256	1670
133	256	1660
134	257	1651
135	258	1642
136	259	1633
137	260	1624
138	260	1615
139	261	1606
140	262	1597
141	262	1588
142	263	1580
143	264	1572
144	265	1563
145	266	1556
146	266	1548
147	267	1541
148	268	1533
149	269	1527
150	270	1520
151	270	1510
152	271	1503
153	272	1496
154	273	1489
155	274	1482
156	275	1476
157	275	1470
158	276	1464
159	277	1457
160	278	1450
161	279	1443
162	279	1436
163	280	1429
164	281	1422
165	281	1416
166	282	1410
167	283	1403
168	284	1397
169	284	1391
170	285	1384
171	286	1378
172	287	1372
173	287	1366
174	288	1360
175	289	1355
176	290	1349
177	290	1343
178	291	1337
179	292	1331
180	292	1325
181	293	1319
182	294	1313
183	294	1307
184	295	1301
185	296	1295
186	296	1290
187	297	1285
188	298	1279
189	298	1273
190	299	1268
191	300	1262
192	300	1257
193	301	1251
194	301	1246
195	302	1241
196	303	1235
197	304	1231
198	304	1226
199	305	1221
200	306	1216
201	306	1211
202	307	1207
203	308	1202
204	309	1198
205	309	1194
206	310	1190
207	311	1186
208	312	1181
209	313	1178
210	314	1174
211	314	1170
212	315	1165
213	316	1161
214	317	1157
215	317	1153
216	318	1149
217	319	1145
218	320	1141
219	320	1137
220	321	1133
221	322	1131
222	323	1128
223	324	1124
224	325	1120
225	326	1116
226	326	1112
227	327	1108
228	328	1105
229	328	1101
230	329	1097
231	330	1093
232	330	1089
233	331	1085
234	332	1082
235	333	1078
236	333	1075
237	334	1071
238	335	1067
239	336	1064
240	336	1060
241	337	1057
242	338	1053
243	338	1050
244	339	1046
245	340	1043
246	341	1039
247	341	1036
248	342	1032
249	343	1029
250	343	1025
251	344	1022
252	345	1019
253	345	1016
254	346	1012
255	347	1009
256	348	1006
257	349	1003
258	349	1000
259	350	997
260	351	994
261	351	990
262	352	987
263	353	984
264	353	981
265	354	978
266	355	975
267	355	972
268	356	969
269	357	966
270	357	963
271	358	960
272	359	957
273	360	954
274	360	951
275	361	948
276	362	945
277	363	943
278	363	940
279	364	937
280	365	934
281	366	932
282	366	929
283	367	926
284	368	924
285	369	921
286	369	918
287	370	915
288	371	913
289	371	910
290	372	907
291	373	905
292	374	902
293	374	900
294	375	897
295	376	895
296	377	892
297	377	890
298	378	887
299	379	885
300	380	882
301	380	880
302	381	877
303	382	875
304	383	872
305	383	870
306	384	867
307	385	865
308	385	862
309	386	860
310	387	857
311	388	855
312	388	853
313	389	850
314	390	848
315	390	846
316	391	843
317	392	841
318	393	839
319	393	836
320	394	834
321	395	833
322	396	830
323	396	827
324	397	825
325	398	823
326	398	820
327	399	818
328	400	815
329	400	813
330	401	811
331	401	808
332	402	806
333	403	804
334	404	802
335	404	800
336	405	798
337	406	795
338	407	793
339	407	791
340	408	789
341	409	787
342	409	784
343	410	782
344	410	780
345	411	778
346	412	776
347	413	774
348	414	772
349	414	770
350	415	768
351	416	766
352	417	764
353	417	762
354	418	760
355	419	758
356	419	756
357	420	754
358	421	752
359	422	750
360	423	748
361	423	747
362	424	745
363	425	743
364	426	741
365	427	739
366	427	737
367	428	735
368	429	733
369	429	732
370	430	730
371	431	728
372	432	726
373	432	724
374	433	722
375	434	720
376	435	719
377	435	717
378	436	715
379	437	713
380	438	711
381	438	709
382	439	708
383	440	706
384	441	704
385	441	702
386	442	700
387	443	699
388	444	697
389	444	695
390	445	693
391	446	692
392	446	690
393	447	688
394	448	686
395	449	685
396	449	683
397	450	681
398	451	680
399	452	678
400	453	676
401	453	675
402	454	673
403	455	671
404	456	669
405	456	668
406	457	666
407	458	664
408	458	662
409	459	661
410	460	659
411	461	657
412	461	656
413	462	654
414	463	652
415	463	651
416	464	649
417	465	648
418	466	646
419	466	644
420	467	642
421	468	641
422	468	639
423	469	637
424	470	636
425	471	634
426	471	633
427	472	631
428	473	629
429	474	628
430	474	626
431	475	625
432	476	623
433	477	622
434	478	620
435	478	619
436	479	617
437	480	616
438	480	614
439	481	612
440	482	611
441	483	610
442	484	608
443	484	607
444	485	605
445	486	604
446	487	602
447	487	600
448	488	599
449	489	597
450	489	596
451	490	594
452	491	593
453	492	591
454	492	590
455	493	588
456	494	587
457	495	585
458	495	584
459	496	582
460	497	581
461	498	579
462	498	578
463	499	576
464	500	575
465	500	573
466	501	572
467	502	570
468	502	569
469	503	567
470	504	566
471	505	564
472	505	563
473	506	562
474	507	560
475	508	559
476	508	557
477	509	556
478	510	555
479	511	553
480	511	552
481	512	550
482	513	549
483	514	548
484	514	546
485	515	545
486	516	543
487	516	542
488	517	540
489	518	539
490	519	538
491	519	536
492	520	535
493	521	533
494	521	532
495	522	530
496	523	529
497	523	528
498	524	526
499	525	525
500	526	523
501	526	522
502	527	521
503	528	519
504	528	518
505	529	517
506	530	515
507	531	514
508	531	513
509	532	511
510	533	510
511	534	508
512	534	507
513	535	506
514	536	505
515	537	503
516	538	502
517	538	501
518	539	500
519	540	498
520	541	497
521	541	496
522	542	494
523	543	493
524	544	492
525	544	491
526	545	489
527	546	488
528	547	487
529	548	486
530	549	484
531	549	483
532	550	482
533	551	481
534	552	479
535	552	478
536	553	477
537	554	476
538	555	475
539	556	473
540	557	472
541	557	471
542	558	470
543	559	468
544	560	467
545	560	466
546	561	465
547	562	463
548	563	462
549	563	461
550	564	460
551	565	458
552	566	457
553	567	456
554	567	455
555	568	454
556	569	452
557	570	451
558	570	450
559	571	449
560	572	447
561	573	446
562	573	445
563	574	444
564	575	443
565	576	441
566	577	440
567	578	439
568	578	438
569	579	437
570	580	435
571	580	434
572	581	433
573	582	432
574	583	431
575	583	429
576	584	428
577	585	427
578	586	426
579	587	425
580	587	423
581	588	422
582	589	421
583	590	420
584	591	419
585	592	418
586	593	417
587	594	416
588	594	415
589	595	413
590	596	412
591	597	411
592	597	410
593	598	409
594	599	407
595	599	406
596	600	405
597	601	404
598	602	403
599	602	401
600	603	400
601	604	399
602	604	398
603	605	397
604	606	395
605	607	394
606	607	393
607	608	392
608	609	391
609	610	390
610	610	388
611	611	387
612	612	386
613	612	385
614	613	384
615	614	383
616	615	381
617	615	380
618	616	379
619	617	378
620	618	377
621	619	376
622	619	375
623	620	373
624	621	372
625	622	371
626	622	370
627	623	369
628	624	368
629	624	367
630	625	365
631	626	364
632	627	363
633	627	362
634	628	361
635	629	360
636	629	358
637	630	357
638	631	356
639	631	355
640	632	354
641	633	353
642	634	352
643	635	351
644	635	349
645	636	348
646	637	347
647	638	346
648	638	345
649	639	344
650	640	343
651	640	342
652	641	340
653	642	339
654	642	338
655	643	337
656	644	336
657	645	335
658	646	334
659	646	333
660	647	331
661	647	330
662	648	329
663	649	328
664	650	327
665	650	326
666	651	325
667	652	324
668	653	323
669	653	322
670	654	321
671	655	319
672	656	318
673	657	317
674	657	316
675	658	315
676	659	314
677	660	313
678	660	312
679	661	311
680	662	310
681	662	309
682	663	308
683	664	306
684	665	305
685	666	304
686	666	303
687	667	302
688	668	301
689	669	300
690	669	299
691	670	298
692	671	297
693	672	296
694	672	295
695	673	294
696	674	293
697	674	291
698	675	290
699	676	289
700	676	288
701	677	287
702	678	286
703	679	285
704	679	284
705	680	283
706	681	282
707	682	281
708	682	280
709	683	279
710	684	278
711	684	276
712	685	275
713	686	274
714	686	273
715	687	272
716	688	271
717	689	270
718	689	269
719	690	268
720	691	267
721	691	266
722	692	265
723	693	264
724	694	263
725	694	262
726	695	261
727	696	260
728	697	259
729	697	258
730	698	257
731	699	256
732	700	254
733	700	253
734	701	252
735	702	251
736	702	250
737	703	249
738	704	248
739	704	247
740	705	246
741	706	245
742	707	244
743	707	243
744	708	242
745	709	241
746	710	240
747	710	239
748	711	238
749	712	237
750	712	236
751	713	235
752	714	234
753	715	233
754	715	232
755	716	231
756	717	230
757	717	229
758	718	228
759	719	227
760	719	226
761	720	225
762	721	224
763	722	223
764	722	222
765	723	221
766	724	220
767	725	219
768	725	218
769	726	217
770	727	215
771	727	214
772	728	213
773	729	212
774	729	211
775	730	210
776	731	209
777	732	208
778	732	207
779	733	206
780	734	205
781	734	204
782	735	203
783	736	202
784	737	201
785	737	200
786	738	199
787	739	198
788	740	197
789	740	196
790	741	195
791	742	194
792	742	193
793	743	192
794	744	191
795	745	190
796	746	190
797	747	189
798	747	188
799	748	187
800	749	186
801	750	185
802	750	184
803	751	183
804	752	182
805	752	181
806	753	180
807	754	179
808	755	178
809	756	177
810	756	176
811	757	175
812	758	174
813	759	173
814	759	172
815	760	171
816	761	170
817	761	169
818	762	168
819	763	167
820	763	166
821	765	165
822	766	164
823	766	163
824	767	162
825	768	161
826	768	160
827	769	159
828	770	158
829	771	157
830	771	156
831	772	156
832	773	155
833	773	154
834	774	153
835	775	152
836	776	151
837	776	150
838	777	149
839	778	148
840	778	147
841	779	146
842	780	145
843	781	144
844	781	143
845	782	142
846	783	141
847	783	140
848	784	139
849	785	138
850	786	137
851	786	136
852	787	135
853	788	134
854	789	133
855	789	132
856	790	131
857	791	130
858	792	130
859	792	129
860	793	128
861	794	127
862	795	126
863	795	125
864	796	124
865	797	123
866	797	122
867	798	121
868	799	120
869	800	119
870	800	118
871	801	117
872	802	116
873	802	115
874	803	114
875	804	113
876	805	112
877	805	111
878	806	111
879	807	110
880	808	109
881	808	108
882	809	107
883	810	106
884	810	105
885	811	104
886	812	103
887	812	102
888	813	101
889	814	100
890	815	99
891	815	98
892	816	97
893	817	96
894	817	95
895	818	94
896	819	94
897	819	93
898	820	92
899	821	91
900	822	90
901	823	89
902	823	88
903	824	87
904	825	86
905	826	85
